sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
first,,Default,simple,"Default Category,Default Category/Shop",base,first,,,1.0000,1,0,"Catalog, Search",100.0000,,,,first,first,first,"first ",,,,,,,,,"11/6/18, 6:19 AM","12/24/18, 9:08 AM",,,"Block after Info Column",,,,"Use config",,,,,,,,,"sample_attribute=Hellooo,sample_attribute2=Nokia,test_attribute=Samsung",998.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
first-1,,Default,simple,"Default Category,Default Category/Shop",base,Second,,,1.0000,1,0,"Catalog, Search",100.0000,,,,first-1,first,first,"first ",,,,,,,,,"11/6/18, 6:19 AM","12/24/18, 9:10 AM",,,"Block after Info Column",,,,"Use config",,,,,,,,,"sample_attribute=h,sample_attribute2=Lenovo,test_attribute=Samsung",998.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
first-1-1,,Default,simple,"Default Category,Default Category/Shop",base,Third,,,1.0000,1,0,"Catalog, Search",100.0000,,,,first-2,first,first,"first ",,,,,,,,,"11/6/18, 6:22 AM","11/6/18, 6:40 AM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,1000.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
first-1-1-1,,Default,simple,"Default Category,Default Category/Shop",base,Fourth,,,1.0000,1,0,"Catalog, Search",100.0000,,,,first-3,first,first,"first ",,,,,,,,,"11/6/18, 6:30 AM","11/6/18, 6:40 AM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,1000.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
first-1-1-1-1,,Default,simple,"Default Category,Default Category/Shop",base,Fifth,,,1.0000,1,0,"Catalog, Search",100.0000,,,,first-4,first,first,"first ",,,,,,,,,"11/6/18, 6:31 AM","11/6/18, 6:40 AM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,976.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
first-2,,Default,simple,"Default Category,Default Category/Shop",base,first,,,1.0000,2,0,"Catalog, Search",100.0000,,,,first-5,first,first,"first ",,,,,,,,,"11/6/18, 6:46 AM","11/6/18, 6:47 AM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,0.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
fabric-1,,Default,simple,,base,"Fabric 1",,,,1,"Taxable Goods","Catalog, Search",100.0000,,,,fabric-1,,,,,,,,,,,,"11/6/18, 6:52 AM","11/6/18, 6:52 AM",,,"Block after Info Column",,,,,,,,,,,,,,100.0000,0.0000,1,0,0,1,1.0000,0,2.0000,0,1,,1,1,0,1,0.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
fabric-2,,Default,simple,,base,"Fabric 2",,,,1,"Taxable Goods","Catalog, Search",100.0000,,,,fabric-2,,,,,,,,,,,,"11/6/18, 6:52 AM","11/6/18, 6:52 AM",,,"Block after Info Column",,,,,,,,,,,,,,100.0000,0.0000,1,0,0,1,1.0000,0,2.0000,0,1,,1,1,0,1,0.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
fabric-3,,Default,simple,,base,"Fabric 3",,,,1,"Taxable Goods","Catalog, Search",100.0000,,,,fabric-3,,,,,,,,,,,,"11/6/18, 6:52 AM","11/6/18, 6:52 AM",,,"Block after Info Column",,,,,,,,,,,,,,100.0000,0.0000,1,0,0,1,1.0000,0,2.0000,0,1,,1,1,0,1,0.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
fabric-4,,Default,simple,,base,"Fabric 4",,,,1,"Taxable Goods","Catalog, Search",100.0000,,,,fabric-4,,,,,,,,,,,,"11/6/18, 6:52 AM","11/6/18, 6:52 AM",,,"Block after Info Column",,,,,,,,,,,,,,100.0000,0.0000,1,0,0,1,1.0000,0,2.0000,0,1,,1,1,0,1,0.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
